,house_name,total_price,unit_price,unit_price_desc,type,location1,area,total_price_min,total_price_max,area_min,area_max
301,国开东方凤凰台,,,,住宅,余杭,建面 89-137㎡,,,89.0,137.0
302,绿城和庐,,,,住宅,余杭,建面 130-140㎡,,,130.0,140.0
303,龙湖江与城,469,, (万/套)(总价),别墅,钱塘区,建面 173-198㎡,469.0,469.0,173.0,198.0
304,西房拱宸外滩,,,,别墅,临平区,建面 165-190㎡,,,165.0,190.0
305,滨江新希望新城未来海岸,总价526(万/套),32000.0, 元/㎡(均价),别墅,钱塘区,建面 195-210㎡,526.0,526.0,195.0,210.0
306,万丽璞丽,,,,住宅,临平区,建面 360-500㎡,,,360.0,500.0
307,越秀景瑞悦见山,,,,住宅,临平区,建面 89-120㎡,,,89.0,120.0
308,碧桂园前宸府,总价257(万/套),21300.0, 元/㎡(均价),住宅,萧山,建面 121-139㎡,257.0,257.0,121.0,139.0
309,德信碧桂园印江南,总价306(万/套),26318.0, 元/㎡(均价),住宅,萧山,建面 120-132㎡,306.0,306.0,120.0,132.0
310,金地滨江万科悦虹湾,,,,住宅,萧山,建面 89-127㎡,,,89.0,127.0
311,绿地华家池印,总价2128(万/套),56000.0, 元/㎡(均价),住宅,上城,建面 380㎡,2128.0,2128.0,380.0,380.0
312,西溪新城市,,,,底商,西湖,,,,,
313,大家金鼎府,,,,住宅,富阳,建面 129-153㎡,,,129.0,153.0
314,碧桂园东旭府,,18156.0, 元/㎡(均价),住宅,萧山,建面 89㎡,,,89.0,89.0
315,润东府,,11500.0, 元/㎡(均价),住宅,钱塘区,,,,,
316,融信沐澜,400,, (万/套)(总价),别墅,余杭,建面 128-139㎡,400.0,400.0,128.0,139.0
317,三湘印象森林海尚,总价403(万/套),45800.0, 元/㎡(均价),住宅,上城,建面 89-139㎡,403.0,403.0,89.0,139.0
318,绿城九龙仓桂语朝阳,总价339(万/套),29800.0, 元/㎡(均价),住宅,萧山,建面 88-138㎡,339.0,339.0,88.0,138.0
319,绿城九龙仓桂语朝阳,总价260(万/套),29800.0, 元/㎡(均价),别墅,萧山,建面 198-210㎡,260.0,260.0,198.0,210.0
320,阳光郡,,,,住宅,拱墅,建面 178㎡,,,178.0,178.0
321,金地广场,,,,商业类,余杭,,,,,
322,嘉里云荷廷,,,,住宅,西湖,,,,,
323,阳光城普升,,,,住宅,上城,,,,,
324,中国铁建国际花园,,,,住宅,上城,,,,,
