,house_name,total_price,total_price_desc,unit_price,info,location1,area,longitude,dimension,latitude,distance_rg
13019,芳苑小区 ,530.0,万,62604.0,3室1厅 | 84.66平米 | 南 | 精装 | 高楼层(共7层) | 1996年建 | 板楼,彭浦,84.66,121.458699,31.306118,31.306118,8.747941225117092
13020,和源名城 ,530.0,万,70460.0,2室1厅 | 75.22平米 | 南 北 | 精装 | 低楼层(共34层) | 2011年建 | 板楼,彭浦,75.22,121.466516,31.317471,31.317471,9.905419013049183
13021,保德公寓 ,555.0,万,57258.0,2室2厅 | 96.93平米 | 南 北 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,彭浦,96.93,121.443555,31.315207,31.315207,10.075475958289953
13022,共康四村 ,355.0,万,56136.0,2室1厅 | 63.24平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,彭浦,63.24,121.436268,31.317599,31.317599,10.551276911847214
13023,艺康苑 ,690.0,万,63187.0,2室2厅 | 109.2平米 | 南 | 简装 | 高楼层(共6层) | 2001年建 | 板楼,彭浦,109.2,121.443391,31.320751,31.320751,10.670578378109644
13024,景凤小区 ,320.0,万,56528.0,2室1厅 | 56.61平米 | 南 | 简装 | 高楼层(共5层) | 1994年建 | 板楼,彭浦,56.61,121.457656,31.320317,31.320317,10.322520577902713
13025,星城花苑 ,319.0,万,55143.0,2室1厅 | 57.85平米 | 南 北 | 简装 | 低楼层(共13层) | 1992年建 | 塔楼,彭浦,57.85,121.457978,31.311988,31.311988,9.403257026801853
13026,临汾路1244弄 ,280.0,万,53971.0,1室1厅 | 51.88平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,彭浦,51.88,121.44315,31.310895,31.310895,9.630344253546989
13027,鹏程宝都 ,640.0,万,62106.0,2室2厅 | 103.05平米 | 南 东南 | 精装 | 中楼层(共14层) | 1998年建 | 塔楼,彭浦,103.05,121.456734,31.312115,31.312115,9.438307198475846
13028,闻喜路1223弄 ,305.0,万,57985.0,2室0厅 | 52.6平米 | 南 北 | 精装 | 高楼层(共6层) | 1991年建 | 板楼,彭浦,52.6,121.442336,31.307740,31.30774,9.323223659904809
13029,临汾名城 ,889.0,万,71671.0,3室2厅 | 124.04平米 | 南 | 精装 | 低楼层(共14层) | 2004年建 | 板楼,彭浦,124.04,121.466002,31.310868,31.310868,9.177531297630196
13030,思美公寓 ,569.0,万,55394.0,2室2厅 | 102.72平米 | 南 | 精装 | 低楼层(共20层) | 1998年建 | 塔楼,彭浦,102.72,121.464675,31.306684,31.306684,8.72736437424869
13031,保德公寓 ,270.0,万,55385.0,1室1厅 | 48.75平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,彭浦,48.75,121.443555,31.315207,31.315207,10.075475958289953
13032,彭新小区 ,242.0,万,57089.0,1室1厅 | 42.39平米 | 南 | 简装 | 高楼层(共6层) | 1985年建 | 板楼,彭浦,42.39,121.446978,31.309443,31.309443,9.367095594908887
13033,共康四村 ,208.0,万,55869.0,1室1厅 | 37.23平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,彭浦,37.23,121.436268,31.317599,31.317599,10.551276911847214
13034,思美公寓 ,420.0,万,63177.0,1室1厅 | 66.48平米 | 南 | 简装 | 中楼层(共20层) | 1998年建 | 塔楼,彭浦,66.48,121.464675,31.306684,31.306684,8.72736437424869
13035,保德路425弄 ,300.0,万,56970.0,2室1厅 | 52.66平米 | 南 | 简装 | 高楼层(共6层) | 1988年建 | 板楼,彭浦,52.66,121.45855,31.316320,31.31632,9.86975553344395
13036,临汾路1565弄 ,485.0,万,57773.0,3室1厅 | 83.95平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,彭浦,83.95,121.437397,31.309581,31.309581,9.680032848232074
